Andrew Johnson	Images, depictions, and writings attributed to Andrew Johnson
Abraham Lincoln	Images, depictions, and writings attributed to Abraham Lincoln
Booker T. Washington	Images, depictions, and writings attributed to Booker T. Washington
Frederick Douglass	Images and writings attributed to Frederick Douglass
Ida B. Wells	Images, depictions, and writings attributed to Ida B. Wells
Robert E. Lee	Images, depictions, and writings attributed to Robert E. Lee
Robert Smalls	Images, depictions, and writings attributed to Robert Smalls
Mary Armstrong	Images, depictions, and writings attributed to Mary Armstrong
Benjamin “Pap” Singleton	Images, depictions, and writings attributed to Benjamin "Pap Singleton
W.E.B. DuBois	Images, depictions, and writings attributed to W.E.B. Dubois
Black Elected Officials	Images or depictions of Black Elected Officials
Black Press	Headlines and articles from Black publications, as well as images of black journalists
Prisoners	Images of prisoners, as well as exterior and interior views of prisons/cells
Exodusters	Images of Exodusters or headlines and articles about exodusters 
Fisk Singers	Images of or documents related to the Fisk Jubilee Singers
Pullman Porters	Images of Pullman Porters
Sharecroppers	Images of sharecroppers
Laborers	Images of men working in factories, saw mills, or railroads
Civil War Destruction	Images of destruction from the U.S. Civil War
Election of 1876	Rutherford B. Hayes, Samuel J. Tilden, or any headlines or articles about the election
Emancipation Proclamation	Documents, headlines, and articles about the emancipation proclamation. Depictions of emancipation celebrations.
Lynchings	Images of lynchings, and headlines or articles about lynchings
Massacres	Images or depictions of massacres, as well as headlines or articles about them
New Orleans Massacre	Mechanics Institute, Louisiana Constitutional Convention of 1866, John T. Monroe, or depictions of the new orleans massacre
Colfax Massacre	Colfax Riot, Grant Parish Courthouse, or depictions of the colfax massacre
Memphis Massacre	Depictions of the Memphis Massacre
East St. Louis Massacre	Images and depictions of the East St. Louis Massacre and its aftermath
Tulsa Massacre	Images and depictions of the Tulsa Massacre and its aftermath. Black wall street. Greenwood.
Niagara Movement	NAACP, W.E.B. DuBois, William Monroe Trotter
Plessy v Ferguson	Homer Plessy, Separate Car Act of 1890, "separate but equal"
Red Summer 1919	Images, headlines, and articles related to the red summer of 1919
WWI	Images of soldiers in WW1, men in wartime manufacturing jobs
Segregation	Images or depictions of segregation, as well as headlines or articles about segregation 
Suffrage	Images of people voting, protesting for suffrage, articles and legislation about voting rights, Susan B. Anthony
Black Families	Images of black families inside houses or on porches
Education	Headlines, articles, and documents related to educational rights and legislation
HBCU	Images of historically black school campuses, and headlines or newspapers about historically black colleges
Manumission	Images of manumission papers, including petitions and documents granting freedom
Rivers	Images of rivers, with or without boats
Roads	Images of open roads
Stage Coaches	Images of horse-drawn carriages
Trains	Images of railroads/trains
American Missionary Association	Images of American Missionary Association teachers, leaders, and writings related to the American Missionary Association
Comité des Citoyens	Plessy v. Ferguson, Aristide Mary, Louis A. Martinet, Rodolphe Desdunes
Economy Hall	Images of Economy Hall members, the Economy Hall building, Treme neighborhood, Ludger Boguille, Société d’Economie et d’Assistance, 
Freedmen’s Bureau	Images of Freedmen's Bureau members, headlines or articles related to Freedmen's Bureau initiatives, depictions of the Freedmen's Bureau
KKK	Images or depictions of the Ku Klux Klan, night rides, portraits of members
White Supremacists	Images or depictions of white supremacist mobs, riots, and print matter relating to or written by white supremacists
NAACP	Images of NAACP members and events, headlines or articles about the NAACP, NAACP Legal Defense Documents, campaign documents, correspondence between founders, articles from The Crisis magazine
NACW	Images of National Association of Colored Women's Club members, events, campaigns, publishings, and newspaper coverage. Mary Church Terrell.
Phillis Wheatley Club	Images of Phillis Wheatley Club members, campaigns, events, and related newspaper headlines/articles
Union League	Images of Union League members, campaigns, events, and related newspaper headlines/articles
Portrait	Portrait-style images of people
Black Codes	Images of Black Code law documents and related cartoons 
Ephemera	Images of posters, brochures, magazines
Newspapers	
Political Cartoons	Images of political cartoons
Diaries	Images of diary entries 
Letters	Images of letters
Chicago	Images of landscapes and street-scenes in Chicago
Kansas	Images of landscapes and street-scenes in Kansas
Oklahoma	Images of landscapes and street-scenes in Oklahoma
Mound Bayou, MS	Images of landscapes and street-scenes in Mound Bayou. Isaiah T. Montgomery.
Mississippi	Images of landscapes and street-scenes in Mississippi
New Orleans	Images of landscapes and street-scenes in New Orleans
Sea Islands	Images of the South Carolina Sea Islands
Black Towns	Mound Bayou, Greenwood, Nicodemus, Eatonville, Africatown
Black Neighborhoods	Images of street-scenes with only black people
Churches	Interior and exterior images of churches, and church congregations 
Landscapes	Images of cityscapes and landscapes
Cotton Fields	Images of cotton fields and depictions that include cotton fields
Rice Fields	Images of rice fields and depictions that include rice fields 
Forestry	Images of forestry
Plantations	Images and depictions of plantation houses and fields, and people on plantations
Schools	Images of schools, school house, students, classroom
Slave Markets	Images and depictions of slave markets
Washington DC	Images of landscapes and street-scenes in Washington DC
Sherman's March	Images of depictions of Sherman's March or related newspapers.
Secession	Images of newspapers or depictions related to the southern states seceding from the US.
13th Amendment	Images of newspapers or depictions related to the 13th Amendment
Great Migration 	Images of African Americans traveling north, west etc. via buses, trains, and cars.
Black Professionals	Images of African American professionals, including doctors, lawyers, teachers etc.
Black Soldiers	Images of African American soldiers
New York	Images of New York scenes
Native American	Images related to Native Americans
